,DMA,scores,sd,count,Region,date
132,662,0.5,2.41,28,"Abilene-Sweetwater, TX",6/23/2015 21:22
26,525,-1,2.24,5,"Albany, GA",6/23/2015 21:22
33,532,0.16,0.99,32,"Albany-Schenectady-Troy, NY",6/23/2015 21:22
182,790,0.13,1.64,101,"Albuquerque-Santa Fe, NM",6/23/2015 21:22
120,644,-0.5,2.43,12,"Alexandria, LA",6/23/2015 21:22
110,634,0.37,2.31,35,"Amarillo, TX",6/23/2015 21:22
25,524,0.07,2.16,534,"Atlanta, GA",6/23/2015 21:22
21,520,-0.31,1.51,32,"Augusta, GA",6/23/2015 21:22
111,635,0.06,1.78,324,"Austin, TX",6/23/2015 21:22
183,800,0.04,2.29,114,"Bakersfield, CA",6/23/2015 21:22
13,512,-0.53,2.19,217,"Baltimore, MD",6/23/2015 21:22
38,537,0.5,3.54,2,"Bangor, ME",6/23/2015 21:22
153,716,-0.27,2.44,166,"Baton Rouge, LA",6/23/2015 21:22
145,692,0.13,1.81,87,"Beaumont-Port Arthur, TX",6/23/2015 21:22
194,821,0,0,5,"Bend, OR",6/23/2015 21:22
170,756,1.86,1.46,7,"Billings, MT",6/23/2015 21:22
163,746,0.08,1.98,26,"Biloxi-Gulfport, MS",6/23/2015 21:22
3,502,0,4.24,2,"Binghamton, NY",6/23/2015 21:22
106,630,0.39,1.9,104,"Birmingham, AL",6/23/2015 21:22
60,559,-0.44,2.01,9,"Bluefield-Beckley-Oak Hill, WV",6/23/2015 21:22
171,757,0.36,2.27,39,"Boise, ID",6/23/2015 21:22
7,506,0.11,2.14,346,"Boston, MA-Manchester, NH",6/23/2015 21:22
160,736,0.4,0.97,10,"Bowling Green, KY",6/23/2015 21:22
15,514,0.31,2.31,206,"Buffalo, NY",6/23/2015 21:22
24,523,-1.5,2.38,4,"Burlington, VT-Plattsburgh, NY",6/23/2015 21:22
168,754,3,4.24,2,"Butte-Bozeman, MT",6/23/2015 21:22
113,637,0.14,2.53,44,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",6/23/2015 21:22
122,648,-0.38,2.24,64,"Champaign & Springfield-Decatur,IL",6/23/2015 21:22
20,519,-0.66,2.51,50,"Charleston, SC",6/23/2015 21:22
64,564,0.42,2.22,19,"Charleston-Huntington, WV",6/23/2015 21:22
18,517,0.24,2.08,233,"Charlotte, NC",6/23/2015 21:22
78,584,-0.26,3.54,19,"Charlottesville, VA",6/23/2015 21:22
73,575,0.08,1.64,51,"Chattanooga, TN",6/23/2015 21:22
173,759,0.33,0.58,3,"Cheyenne, WY-Scottsbluff, NE",6/23/2015 21:22
85,602,0.15,2.13,1184,"Chicago, IL",6/23/2015 21:22
201,868,0.22,2.83,23,"Chico-Redding, CA",6/23/2015 21:22
16,515,0.23,1.81,166,"Cincinnati, OH",6/23/2015 21:22
83,598,0.4,0.89,5,"Clarksburg-Weston, WV",6/23/2015 21:22
11,510,0.15,2,695,"Cleveland-Akron (Canton), OH",6/23/2015 21:22
166,752,-0.08,1.79,61,"Colorado Springs-Pueblo, CO",6/23/2015 21:22
47,546,0.04,4.24,24,"Columbia, SC",6/23/2015 21:22
87,604,0.6,1.95,5,"Columbia-Jefferson City, MO",6/23/2015 21:22
23,522,-0.1,2.24,96,"Columbus, GA",6/23/2015 21:22
36,535,0.03,2.2,315,"Columbus, OH",6/23/2015 21:22
136,673,-0.3,1.34,10,"Columbus-Tupelo-West Point, MS",6/23/2015 21:22
84,600,0.05,2.11,146,"Corpus Christi, TX",6/23/2015 21:22
100,623,0.06,2.04,1846,"Dallas-Ft. Worth, TX",6/23/2015 21:22
141,682,0.07,2,89,"Davenport,IA-Rock Island-Moline,IL",6/23/2015 21:22
43,542,0.32,2.26,91,"Dayton, OH",6/23/2015 21:22
165,751,0.18,2.25,228,"Denver, CO",6/23/2015 21:22
140,679,0.22,2.07,92,"Des Moines-Ames, IA",6/23/2015 21:22
6,505,0.12,2.19,674,"Detroit, MI",6/23/2015 21:22
89,606,0.3,0.8,20,"Dothan, AL",6/23/2015 21:22
138,676,-0.18,2.6,11,"Duluth, MN-Superior, WI",6/23/2015 21:22
177,765,0.14,2.16,100,"El Paso, TX",6/23/2015 21:22
65,565,0.38,1.92,8,"Elmira, NY",6/23/2015 21:22
17,516,0.5,1.34,22,"Erie, PA",6/23/2015 21:22
184,801,0.06,2.05,52,"Eugene, OR",6/23/2015 21:22
185,802,1,1.41,2,"Eureka, CA",6/23/2015 21:22
123,649,0.26,2.14,42,"Evansville, IN",6/23/2015 21:22
157,724,0.24,1.77,29,"Fargo-Valley City, ND",6/23/2015 21:22
14,513,0.6,2.44,86,"Flint-Saginaw-Bay City, MI",6/23/2015 21:22
69,570,0.28,1.74,78,"Florence-Myrtle Beach, SC",6/23/2015 21:22
200,866,0.26,1.91,246,"Fresno-Visalia, CA",6/23/2015 21:22
70,571,0.14,2.03,42,"Ft. Myers-Naples, FL",6/23/2015 21:22
134,670,0.4,2.84,30,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",6/23/2015 21:22
10,509,0.42,2.35,72,"Ft. Wayne, IN",6/23/2015 21:22
80,592,0.38,1.63,16,"Gainesville, FL",6/23/2015 21:22
180,773,-0.89,2.52,9,"Grand Junction-Montrose, CO",6/23/2015 21:22
63,563,-0.13,2.99,107,"Grand Rapids-Kalamazoo-Battle Creek, MI",6/23/2015 21:22
169,755,-0.8,2.17,5,"Great Falls, MT",6/23/2015 21:22
129,658,0.42,2.11,38,"Green Bay-Appleton, WI",6/23/2015 21:22
19,518,0.01,2.45,151,"Greensboro-High Point-Winston Salem, NC",6/23/2015 21:22
46,545,-0.89,2.42,37,"Greenville-New Bern-Washington, NC",6/23/2015 21:22
67,567,0.41,1.64,103,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",6/23/2015 21:22
121,647,1.5,2.12,2,"Greenwood-Greenville, MS",6/23/2015 21:22
112,636,0.14,1.62,187,"Harlingen-Weslaco-Brownsville-McAllen, TX",6/23/2015 21:22
